Transaction_ID,Account_ID,Transaction_Date,Transaction_Type,Amount,Department,Region,Description
TRX200000,ACC101104,2022-10-17,Debit,186515.58,Support,West,Financial entry 0
TRX200001,ACC102724,2020-09-03,Debit,23210.97,Finance,Central,Financial entry 1
TRX200002,ACC101223,2021-01-12,Credit,314792.4,Sales,East,Financial entry 2
TRX200003,ACC102879,2023-05-08,Debit,272207.11,Operations,North,Financial entry 3
TRX200004,ACC100993,2022-02-02,Debit,253727.5,Operations,East,Financial entry 4
TRX200005,ACC101441,2022-12-31,Debit,401692.36,Sales,South,Financial entry 5
TRX200006,ACC101928,2020-08-06,Credit,280521.37,HR,Central,Financial entry 6
TRX200007,ACC101535,2020-11-19,Debit,110997.81,Sales,North,Financial entry 7
TRX200008,ACC101546,2021-05-31,Credit,191533.76,Finance,North,Financial entry 8
TRX200009,ACC100012,2020-05-26,Credit,91618.69,Sales,North,Financial entry 9
TRX200010,ACC100160,2020-01-26,Credit,53068.79,Sales,North,Financial entry 10
TRX200011,ACC101062,2021-12-12,Debit,48753.57,Sales,East,Financial entry 11
TRX200012,ACC101144,2023-10-17,Debit,282858.73,Sales,Central,Financial entry 12
TRX200013,ACC101479,2021-09-30,Credit,433429.92,Finance,North,Financial entry 13
TRX200014,ACC101707,2020-06-05,Debit,336446.47,Sales,South,Financial entry 14
TRX200015,ACC100052,2022-11-07,Credit,255011.14,Sales,Central,Financial entry 15
TRX200016,ACC100441,2023-08-14,Debit,45356.4,IT,North,Financial entry 16
TRX200017,ACC101174,2022-02-03,Credit,11562.32,Sales,North,Financial entry 17
TRX200018,ACC101698,2021-03-10,Debit,10915.13,Operations,Central,Financial entry 18
TRX200019,ACC100927,2020-10-28,Credit,47518.09,IT,North,Financial entry 19
TRX200020,ACC100230,2021-12-17,Credit,92872.23,Support,East,Financial entry 20
TRX200021,ACC101704,2020-12-04,Debit,476930.56,Finance,South,Financial entry 21
TRX200022,ACC101847,2022-04-30,Debit,215717.68,Support,North,Financial entry 22
TRX200023,ACC101800,2022-05-01,Debit,104751.85,IT,West,Financial entry 23
TRX200024,ACC102756,2020-10-15,Debit,382036.67,Finance,North,Financial entry 24
TRX200025,ACC100107,2022-09-06,Debit,498122.12,IT,Central,Financial entry 25
TRX200026,ACC101378,2023-08-28,Debit,497264.07,Finance,West,Financial entry 26
TRX200027,ACC102909,2022-12-08,Credit,23515.79,HR,East,Financial entry 27
TRX200028,ACC102748,2024-01-31,Debit,304852.82,Operations,East,Financial entry 28
TRX200029,ACC100867,2020-05-05,Credit,210304.9,IT,North,Financial entry 29
TRX200030,ACC100197,2020-12-03,Debit,42573.6,Operations,South,Financial entry 30
TRX200031,ACC102379,2022-04-24,Debit,115393.23,IT,South,Financial entry 31
TRX200032,ACC101981,2021-05-24,Debit,280655.84,Sales,North,Financial entry 32
TRX200033,ACC100672,2023-07-28,Credit,340360.4,IT,North,Financial entry 33
TRX200034,ACC102816,2023-11-13,Credit,482293.67,HR,West,Financial entry 34
TRX200035,ACC102931,2022-07-12,Credit,54053.72,Finance,West,Financial entry 35
TRX200036,ACC101283,2021-10-07,Debit,195894.85,HR,South,Financial entry 36
TRX200037,ACC101797,2021-11-18,Debit,179411.91,Finance,East,Financial entry 37
TRX200038,ACC102323,2020-11-21,Debit,177721.31,Finance,West,Financial entry 38
TRX200039,ACC101091,2022-08-07,Credit,338980.9,HR,East,Financial entry 39
TRX200040,ACC101845,2021-10-05,Debit,234618.84,Finance,South,Financial entry 40
TRX200041,ACC102411,2021-09-11,Credit,362012.44,Finance,Central,Financial entry 41
TRX200042,ACC102229,2023-01-09,Debit,378430.3,Finance,North,Financial entry 42
TRX200043,ACC100851,2023-03-12,Debit,1672.94,Support,North,Financial entry 43
TRX200044,ACC102302,2020-07-16,Debit,74927.59,IT,South,Financial entry 44
TRX200045,ACC100014,2021-03-01,Debit,96663.06,Support,South,Financial entry 45
TRX200046,ACC100226,2023-02-20,Credit,7481.32,Support,South,Financial entry 46
TRX200047,ACC100635,2021-02-24,Credit,321793.9,Finance,East,Financial entry 47
TRX200048,ACC101575,2023-03-17,Credit,84535.3,Sales,East,Financial entry 48
TRX200049,ACC100850,2020-09-02,Credit,498645.38,Finance,West,Financial entry 49
TRX200050,ACC101032,2022-10-20,Credit,310202.55,Finance,North,Financial entry 50
TRX200051,ACC100125,2022-08-19,Debit,402762.55,Operations,North,Financial entry 51
TRX200052,ACC100986,2022-08-28,Debit,156943.47,HR,Central,Financial entry 52
TRX200053,ACC100948,2021-05-14,Credit,487730.96,HR,North,Financial entry 53
TRX200054,ACC102215,2021-05-31,Debit,211573.09,Support,East,Financial entry 54
TRX200055,ACC101640,2021-11-18,Debit,326219.34,IT,West,Financial entry 55
TRX200056,ACC101085,2021-07-30,Credit,59868.42,IT,East,Financial entry 56
TRX200057,ACC102429,2022-04-12,Debit,144790.88,Finance,Central,Financial entry 57
TRX200058,ACC100731,2022-02-23,Credit,81398.79,Operations,West,Financial entry 58
TRX200059,ACC101835,2023-11-13,Credit,113906.41,Finance,East,Financial entry 59
TRX200060,ACC100010,2022-09-05,Debit,202803.21,IT,East,Financial entry 60
TRX200061,ACC102559,2023-06-14,Credit,402059.42,IT,South,Financial entry 61
TRX200062,ACC102441,2024-01-18,Credit,6699.66,HR,North,Financial entry 62
TRX200063,ACC101067,2020-10-09,Credit,287843.1,Operations,North,Financial entry 63
TRX200064,ACC100050,2021-06-02,Credit,327315.16,Sales,South,Financial entry 64
TRX200065,ACC102528,2023-09-08,Credit,358663.68,Finance,Central,Financial entry 65
TRX200066,ACC102682,2023-07-04,Debit,339465.0,IT,South,Financial entry 66
TRX200067,ACC101280,2020-09-25,Debit,4306.66,HR,East,Financial entry 67
TRX200068,ACC100955,2020-03-26,Debit,457977.94,IT,North,Financial entry 68
TRX200069,ACC101523,2022-02-14,Credit,401826.11,HR,East,Financial entry 69
TRX200070,ACC100166,2022-09-18,Credit,18021.35,Support,East,Financial entry 70
