Year,Month,Account_Code,Account_Name,Account_Class,Total_Amount
2021,12,ACC100230,Account_230,Expense,92872.23
2023,11,ACC101440,Account_1440,Liability,389171.62
2022,1,ACC102887,Account_2887,Asset,197525.34
2020,8,ACC102280,Account_2280,Revenue,202602.27
2021,5,ACC101062,Account_1062,Liability,374072.85
2023,1,ACC102954,Account_2954,Revenue,176372.19
2021,8,ACC102963,Account_2963,Expense,448062.23
2022,2,ACC100322,Account_322,Revenue,50781.39
2023,4,ACC100735,Account_735,Equity,238209.73
2020,10,ACC102400,Account_2400,Equity,388405.15
2020,11,ACC100773,Account_773,Expense,250937.68
2020,10,ACC101173,Account_1173,Revenue,319215.76
2021,4,ACC101909,Account_1909,Equity,314790.84
2022,9,ACC101700,Account_1700,Asset,355441.31
2020,9,ACC100811,Account_811,Liability,388573.7
2022,2,ACC101909,Account_1909,Equity,203214.83
2020,10,ACC102946,Account_2946,Asset,207468.36
2024,1,ACC100119,Account_119,Equity,183350.05
2023,2,ACC102595,Account_2595,Equity,198430.26
2020,5,ACC101995,Account_1995,Liability,159837.48
2022,9,ACC102530,Account_2530,Expense,481374.28
2023,2,ACC102584,Account_2584,Liability,172555.56
2023,1,ACC102611,Account_2611,Equity,217570.42
2023,8,ACC101407,Account_1407,Asset,428597.72
2022,11,ACC101469,Account_1469,Liability,83881.04
2023,1,ACC101271,Account_1271,Expense,375675.03
2020,11,ACC100250,Account_250,Revenue,376420.18
2022,10,ACC101338,Account_1338,Equity,416073.7
2021,11,ACC101162,Account_1162,Expense,230181.28
2021,12,ACC100575,Account_575,Revenue,381765.41
2020,7,ACC100303,Account_303,Expense,235087.27
2023,2,ACC100183,Account_183,Asset,30739.63
2022,2,ACC101814,Account_1814,Liability,102036.93
2020,9,ACC101868,Account_1868,Asset,456114.42
2021,7,ACC102715,Account_2715,Revenue,153548.81
2020,5,ACC100766,Account_766,Expense,136102.08
2023,1,ACC101492,Account_1492,Revenue,171809.2
2021,12,ACC102691,Account_2691,Equity,154725.95
2022,4,ACC100540,Account_540,Revenue,211745.8
2023,1,ACC102957,Account_2957,Asset,407940.5
2021,7,ACC100806,Account_806,Liability,149328.63
2023,2,ACC100250,Account_250,Revenue,290080.73
2023,11,ACC101402,Account_1402,Equity,176486.49
2023,1,ACC101405,Account_1405,Expense,388458.87
2022,10,ACC101009,Account_1009,Asset,377135.73
2023,3,ACC101557,Account_1557,Revenue,53759.35
2021,5,ACC101859,Account_1859,Asset,26260.36
2023,1,ACC101962,Account_1962,Equity,202505.13
2023,12,ACC102260,Account_2260,Asset,461430.37
2022,4,ACC100409,Account_409,Liability,261586.34
2022,6,ACC101414,Account_1414,Asset,243735.66
2020,8,ACC100141,Account_141,Liability,3286.38
2020,11,ACC101091,Account_1091,Asset,436101.69
2022,5,ACC101754,Account_1754,Liability,113926.98
2020,4,ACC101798,Account_1798,Asset,205736.74
2021,3,ACC101811,Account_1811,Asset,396799.88
2020,1,ACC101724,Account_1724,Equity,870372.05
2020,5,ACC101924,Account_1924,Liability,292648.02
2023,2,ACC102060,Account_2060,Expense,282664.61
2023,7,ACC101948,Account_1948,Liability,77294.16
2020,2,ACC101589,Account_1589,Expense,436053.51
2021,12,ACC102183,Account_2183,Revenue,265401.67
2021,12,ACC101295,Account_1295,Revenue,351481.04
2021,1,ACC102531,Account_2531,Liability,168197.65
2021,2,ACC102655,Account_2655,Expense,283957.06
2020,11,ACC101480,Account_1480,Asset,452106.22
2021,3,ACC101307,Account_1307,Equity,219522.13
2021,9,ACC101131,Account_1131,Asset,378510.33
2020,1,ACC100879,Account_879,Liability,240454.87
2021,4,ACC100557,Account_557,Revenue,443902.51
2020,6,ACC102415,Account_2415,Equity,157967.93
2020,11,ACC100517,Account_517,Equity,293291.52
2022,6,ACC102149,Account_2149,Revenue,61353.24
2022,8,ACC100803,Account_803,Liability,152232.5
2022,5,ACC102081,Account_2081,Liability,271121.65
2022,12,ACC102723,Account_2723,Revenue,207687.37
2020,2,ACC101670,Account_1670,Revenue,290873.6
2023,8,ACC100176,Account_176,Expense,261382.15
2021,8,ACC100141,Account_141,Liability,227575.24
2022,3,ACC101229,Account_1229,Equity,260425.81
2023,12,ACC101545,Account_1545,Asset,458454.54
2020,7,ACC100135,Account_135,Asset,156330.86
2023,2,ACC102616,Account_2616,Equity,120561.07
2022,1,ACC102007,Account_2007,Equity,31464.84
2021,12,ACC100510,Account_510,Revenue,430213.16
2023,7,ACC102028,Account_2028,Asset,317289.07
